We’re potentially one big step closer to defeating COVID.  https://t.co/mLZLFrV2ZD,2020-11-28 15:01:15,Twitter for iPhone,4,14,covid; 
ICYMI: I joined Bill Hemmer on FOX News this afternoon to share tips for staying safe and discuss my perspective on COVID-19. https://t.co/fRYmQmHP1u,2020-03-12 20:34:08,Twitter Media Studio,6,22,covid; 
The @CDCgov and @OHdeptofhealth continue to share up-to-date information regarding COVID-19 which you can find here: https://t.co/BBUIqpcyIZ https://t.co/yetFXGMyTq,2020-03-12 14:29:22,Twitter Web App,1,1,covid; 
You can also find up-to-date information from the @OHdeptofhealth regarding this coronavirus here: https://t.co/RzgVIzN70f,2020-03-11 15:45:04,Twitter Web App,0,7,corona; 
It is important that we continue taking regular flu season precautions. If you do start experiencing symptoms associated with COVID-19 you can reach licensed nurses and infectious disease experts from 9:00am to 8:00pm daily at 1-833-4-ASK-ODH (1-833-427-5634).,2020-03-11 15:45:04,Twitter Web App,6,27,covid; 
Currently being briefed by @SecAzar in HHS's "Coronavirus Command Center" about ongoing efforts to combat the spread of the virus. https://t.co/OCRbNjIQgM,2020-03-10 14:29:07,Twitter Web App,12,30,corona; 
Congress passed and the President signed a bill providing an additional $8.3 billion to fight the spread of this coronavirus last week and I am working to ensure that Ohio gets access to its share of those resources.,2020-03-09 20:56:05,Twitter Web App,2,13,corona; 
My statement regarding the three positive COVID-19 cases that were confirmed in Cuyahoga County today:  “Protecting Ohioans' health and safety remains my top priority. I will continue coordinating efforts with federal state and local officials.,2020-03-09 20:56:04,Twitter Web App,3,15,covid; 
While the risk of infection remains low in Ohio It’s important to know what symptoms of COVID-19 to look for if you’re feeling ill. We’re seeing that patients with COVID-19 experience fever shortness of breath or sever coughing. https://t.co/m3fECkN8jN,2020-03-09 18:14:13,Twitter Web App,6,13,covid; 
As a reminder while there have been no confirmed cases of COVID-19 in Ohio I still encourage everyone to follow standard flu season protection protocol. You can find regular updates on this virus at https://t.co/RzgVIzN70f,2020-03-06 21:22:26,Twitter Web App,0,4,covid; 
PSA: The Ohio Department of Health (ODH) is operating a call center specifically to answer questions regarding this new coronavirus. You can reach licensed nurses and infectious disease experts from 9:00am to 8:00pm daily at 1-833-4-ASK-ODH (1-833-427-5634).,2020-03-06 21:22:26,Twitter Web App,1,7,corona; 
You can find more information on this coronavirus at: https://t.co/HlcAY0D21b,2020-03-05 15:06:15,Twitter Web App,4,6,corona; 
COVID-19 is an emerging virus and many Ohioans have questions about how to detect and treat it. Please help us educate the public by sharing these resources from the @CDCgov with your family and friends. https://t.co/QfSU1ic2jf,2020-03-05 15:06:14,Twitter Web App,8,13,covid; 
My statement on voting for the #coronavirus funding bill: https://t.co/bhJ9fsNaRP,2020-03-04 22:04:46,Twitter Web App,2,10,corona; 
America needs Congress to come together &amp; pass a CLEAN funding bill to stop the further spread of this coronavirus. We can’t hold this up by attaching it to FISA reauthorization or partisan drug control measures. Speaker Pelosi stop playing politics with our public safety! https://t.co/z1Z3wdOGyq,2020-03-04 17:10:09,Twitter Web App,242,749,corona; 
I have heard from many Ohioans who are concerned about this new COVID19 coronavirus and have lots of questions about how to stay safe. Here is a very helpful video from the Attending Physician of the United States Congress that answers some frequently asked questions.,2020-03-02 16:27:35,Twitter Web App,6,11,covid; corona; 
ICYMI: This morning I joined Maria Bartiromo on Fox Business to discuss this coronavirus and FISA reform. https://t.co/z2Hi852nJa,2020-02-28 18:14:24,Twitter Media Studio,9,21,corona; 
ICYMI: I joined Fox Business this afternoon to discuss the latest updates with this coronavirus and why Americans need to remain cautious and shouldn’t panic as we prevent further spread of the outbreak. https://t.co/fE17cUMHcG,2020-02-27 23:19:06,Twitter Media Studio,4,19,corona; 
Coming up soon on @FoxBusiness with @DavidAsmanfox to talk #coronavirus https://t.co/VR5kHLqi6H,2020-02-27 22:01:45,Twitter for iPhone,2,16,corona; 
Here is another important update from Acting Homeland Security Deputy Secretary Cuccinelli on our nation’s efforts to contain this new coronavirus outbreak: https://t.co/Wf6AlUJK2E,2020-02-08 17:34:37,Twitter for iPhone,7,22,corona; 
