@BadCOVID19Takes https://t.co/OGcc7R8CG5,2020-11-23 17:00:25,Twitter for Android,0,3,covid; 
📍📞 #5: San Juan County Health Department   Yesterday I joined @SanJuanCountyWA Health Dpt. Director Mark Tompkins &amp; councilmember Rick Hughes for a conference call update on county efforts to combat #COVID19. Thank you for your work to keep San Juan residents safe &amp; healthy!,2020-03-07 23:16:28,Twitter for iPhone,2,2,covid; 
Visit https://t.co/oiKcOX0wfe for @snocounty-specific #COVID19 updates.,2020-03-07 22:07:22,Twitter for iPhone,1,2,covid; 
📍Stop #4: Snohomish Health District   Met with @SnoHD @snocounty leadership @EverettCity @MayorCassie &amp; local elected officials in #Everett yesterday to hear about ongoing efforts to combat #COVID19 in SnoCo. TY to everyone for working together to keep Snohomish residents safe! https://t.co/mEtPqxpn8c,2020-03-07 22:07:22,Twitter for iPhone,3,10,covid; 
📍Stop #3: Skagit County Health Department   Yesterday I attended a briefing in #MountVernon on the @SkagitGov #COVID19 response w/County Public Health Director Jennifer Johnson County officials and staff. TY for the important work you continue to do!   https://t.co/TZ0GwYQ2Oo,2020-03-07 19:26:20,Twitter for iPhone,4,9,covid; 
📍 Stop #2: @Whatcomctygov Health Department   Spoke w/Whatcom County’s John Wolpers &amp; Mark Raaka @CityofBhamWA Mayor Seth Fleetwood &amp; County Exec Satpal Sidhu in #Bellingham on the County’s response to #COVID19.   TY for the critical work you do to keep Whatcom County safe! https://t.co/0Z3iix7tmB,2020-03-07 05:17:46,Twitter for iPhone,1,14,covid; 
TY to Keith Higman Island County Health Services Director Commissioner Jill Johnson Public Works/Emergency Mgt Director Bill Oakes &amp; Theresa Sanders Assessment &amp; Healthy Communities Director for briefing me a briefing on Island County’s response to #COVID19 in #Coupeville.,2020-03-07 01:32:50,Twitter Web App,0,1,covid; 
Today I met w/public health &amp; elected officials across #WA02 to hear directly about local response to #COVID19 their concerns &amp; needs. I voted for a bipartisan bill to deliver $8.3 billion in emergency supplemental funds to help fed state &amp; local agencies address the outbreak.,2020-03-07 01:32:50,Twitter Web App,2,12,covid; 
I encourage you to follow my social media pages for info about a rescheduled #Everett Town Hall meeting.   Facebook: https://t.co/mjuDShI4QO  Twitter: @RepRickLarsen   Instagram: @repricklarsen   For up-to-date info on #COVID19 follow @WADeptHealth and @SnoHD.,2020-03-06 21:13:59,Twitter Web App,1,1,covid; 
POSTPONED – #Everett Town Hall Meeting  Due to concerns about #COVID19 in Snohomish County I have decided to postpone my Everett Town Hall originally scheduled to take place this Saturday March 7 at the Evergreen Branch of the @eplsdotorg. https://t.co/trZ37XhXPD,2020-03-06 21:13:58,Twitter Web App,3,8,covid; 
Traveling with @SeemaCMS and @CDCDirector to Washington state to meet with @VP and @WADeptHealth and others to get updates on #COVID19 response and assistance in our state. Thank you for being with us.,2020-03-05 19:01:51,Twitter for iPad,1,3,covid; 
For up-to-date information on #COVID19 ⬇️⬇️⬇️ https://t.co/dk8fz7xVd1,2020-03-04 20:44:42,Twitter Web App,4,10,covid; 
35k-36k per flu season except an unusual year a few years back. Most of which are preventable.  Still COVID-19 is different and we can address it with a strong public health approach take it seriously and with appropriate level of concern https://t.co/MwN0hJkvTX,2020-02-27 03:03:34,Twitter for Android,1,13,covid; 
If you have any questions or concerns about Novel Coronavirus please visit https://t.co/DLvuclNBBP or call the @WADeptHealth hotline at 1-800-525-0127 then press #. 5/5,2020-01-29 22:38:37,Twitter Web App,1,3,corona; 
None of the 5 confirmed patients contracted Coronavirus in the U.S. This is a testament to the vigilance &amp; response of state &amp; local health officials. Strong public health infrastructure in place enabled health pros to move quickly &amp; decisively to diagnose &amp; treat the patient 2/5,2020-01-29 22:38:37,Twitter Web App,3,7,corona; 
This afternoon Congress received an update on the Novel Coronavirus.   Out of the 330 mil people in the U.S. @CDCgov reports 5 confirmed cases of Novel Coronavirus &amp; 165 individuals under evaluation. The 1st confirmed patient w/the virus was from Snohomish County in #WA02. 1/5,2020-01-29 22:38:36,Twitter Web App,12,25,corona; 
