ATTN MARION COUNTY: Free COVID-19 tests on Saturday in Marion  https://t.co/a3TiTN6h5s,2020-11-13 20:30:00,TweetDeck,2,1,covid; 
Job for a job Ohioans? Check out this new website that matches essential businesses with those able to work during #COVID19 pandemic. ⬇️⬇️⬇️ https://t.co/osqoP5QCYD,2020-04-06 12:40:47,Twitter for iPhone,2,2,covid; 
Kudos to @Battelle and @JobsOhio for sterilizing hospitals' masks free of charge for the next two weeks 👏  Our hospitals need all the #PPE they can get to fight the #COVID19 battle. #InThisTogetherOhio https://t.co/ZIwUhmuyhf,2020-04-03 19:58:02,TweetDeck,3,10,covid; 
Ohioans: Please remember to be wary of of bad actors trying to take advantage of citizens concerned about #COVID19. See more details below &amp; visit @fema's Rumor Control page linked on my website: https://t.co/t4TqsXn4Z2 https://t.co/lV08ETGXNI,2020-04-01 20:20:41,TweetDeck,3,3,covid; 
@fema @SBA_Columbus Thank you again to everyone who participated tonight including our special guests!  We heard lots of stories and helpful information about #COVID19 #SmallBusiness resources and more  Don't hesitate to reach out if my office can help: ☎️ 614-523-2555 💻 https://t.co/E3EmJgfzyd,2020-04-01 00:41:29,TweetDeck,0,2,covid; 
@fema @SBA_Columbus #TTHTales A constituent wondered if she can have her friend over to sit on the porch as long as they stay six feet apart. The answer is yes! Each and every one of us plays an important role in protecting our communities from #COVID19. Keep playing your part! #InThisTogetherOhio https://t.co/Vy4TmEtCxS,2020-04-01 00:36:23,TweetDeck,0,2,covid; 
@fema #TTHTales Moving back to #SmallBusiness questions one owner has both employees + independent contractors who are taking a blow from #COVID19  I called for the #CARESAct to include provisions related to independent contractors which it does. MORE: https://t.co/pku74mnVVk,2020-04-01 00:04:20,TweetDeck,1,4,covid; 
#TTHTales We received 🚨 BREAKING NEWS 🚨 during tonight's live tele-town hall:  The Administration has approved Ohio's request for a major disaster declaration opening @fema funds &amp; resources. See letter urging this action key to Ohio's efforts in fighting #COVID19 ⬇️ https://t.co/vMEOcTQtNv,2020-03-31 23:46:34,TweetDeck,2,1,covid; 
#TTHTales Another small business owner expressed concerns about being able to apply for one of these SBA #COVID19 loans online  Great news for those experiencing the same issues the website is now LIVE and operational: https://t.co/ecwxSMCUDc,2020-03-31 23:16:01,TweetDeck,0,1,covid; 
Thanks to the thousands of constituents who participated in tonight’s tele-town hall discussing #COVID19 &amp; #SmallBusiness resources  Special thanks to @SBA_Columbus guests and @DelawareHealth Commissioner for your insight!  I’ll be using #TTHTales to highlight a few stories ⬇️,2020-03-31 23:06:20,TweetDeck,0,0,covid; 
HAPPENING NOW: Join us for a live telephone town hall discussing issues related to: 🦠 #COVID19 👪 Keeping your loved ones safe 📝 Small business resources pertaining to COVID-19 🇺🇸 #CARESAct 🆘 Constituent resources related to COVID-19  ☎️ CALL: 540-409-4375; Ext.57946# https://t.co/jyLhdVpPVV,2020-03-31 21:31:21,TweetDeck,3,5,covid; 
If you are: 🏠 Staying home 🚰 Washing your hands frequently 👋 Socially distancing from those outside your household  YOU are making a HUGE difference in our nationwide effort to #SlowTheSpread of #COVID19  THANK YOU to everyone taking these precautions #InThisTogetherOhio https://t.co/97eGsOPr9N,2020-03-31 16:00:58,TweetDeck,35,116,covid; 
Good work @Battelle &amp; @OSUWexMed! Glad to see these strides that will drastically improve testing turnaround time for faster #COVID19 test results. Grateful for your dedication leadership and ingenuity in these efforts. #InThisTogetherOhio  https://t.co/xxn8CFZwXV,2020-03-31 02:08:13,Twitter for iPhone,2,9,covid; 
Health care workers like doctors and nurses go to work each day to fight #COVID19 and keep our communities safe  Let's do our part to #SlowTheSpread by staying home as much as possible and practicing #SocialDistancing by staying 6 ft. away from others  #NationalDoctorsDay https://t.co/NZEtMH3Bkc,2020-03-30 16:59:49,TweetDeck,1,5,covid; 
To our nation's doctors on the frontline fighting #COVID19 thank you for everything you do. We can't fight this battle without you. 👩‍⚕️🇺🇸👨‍⚕️ #NationalDoctorsDay https://t.co/8GOOEYq62U,2020-03-30 14:54:20,TweetDeck,3,5,covid; 
.@RepSteveStivers and I have engaged the @WhiteHouse @US_FDA and Coronavirus Task Force on this matter and will continue to push to ensure that our health care workers have the tools they need to fight #COVID19 https://t.co/bgVS91FFpI,2020-03-29 17:35:23,Twitter for iPhone,2,17,covid; corona; 
I join @GovMikeDeWine &amp; @RepSteveStivers in calling on @US_FDA to immediately correct an oversight limiting the # of life-saving #PPE that can be decontaminated with @Battelle's innovative new tech. This is critical in fight against #COVID19  FULL RELEASE: https://t.co/dnD9t4VXdK,2020-03-29 16:30:47,TweetDeck,5,7,covid; 
Critical that @Battelle is able to decontaminate N95 masks at full capacity to ensure health care workers have enough #PPE in fight against #COVID19 https://t.co/DPScBsp4KY,2020-03-29 15:49:48,Twitter for iPhone,5,20,covid; 
Thank you @GovMikeDeWine for highlighting this effort by @Battelle that will drastically increase available #PPE. I’ve been working w/ Battelle &amp; @US_FDA so this decontamination tech can be approved quickly—a top priority for Ohio &amp; USA as our health care workers fight #COVID19 https://t.co/7VX022XygV,2020-03-28 18:29:05,Twitter for iPhone,4,10,covid; 
Rural communities are often disadvantaged by a lack of access to critical resources including health care. W/o this access rural citizens would suffer during the #COVID19 outbreak. The #CARESAct expands broadband and telehealth infrastructure so rural areas aren't left behind. https://t.co/4S3a0dN21R,2020-03-28 12:16:00,TweetDeck,2,10,covid; 
Non-essential businesses like local restaurants salons theaters and retail shops can't rely on regular revenue right now because of #COVID19. These small firms make up the vast majority of Ohio's businesses. #CARESAct helps make sure they and their employees don't fall behind. https://t.co/yE4XhRHqOg,2020-03-27 20:15:00,TweetDeck,13,47,covid; 
Many families are struggling to make ends meet right now. The #CARESAct provides the relief reassurance and peace of mind they need to keep going during the #COVID19 crisis.  For Ohioans these checks will go toward: 🏠Rent 💡Utility bills 💳Credit card bills  And so much more. https://t.co/ONrWriwH5q,2020-03-27 19:45:00,TweetDeck,12,47,covid; 
Doctors nurses &amp; care providers are the soldiers fighting the battle against #COVID19  It's our job to provide them the tools they need: 🏥$100 billion directly to hospitals 💻Expansion of telehealth to support rural communities 😷$16 billion for med supplies &amp; #PPE  #CARESAct https://t.co/X2RvUPbLp3,2020-03-27 18:52:16,TweetDeck,1,8,covid; 
What Ohioans need right now is relief. I had an opportunity to take part in that by voting for #CARESAct #Phase3 of the #COVID19 relief package.   I drove from Ohio to DC yesterday to cast my vote while practicing #SocialDistancing.   FULL STATEMENT: https://t.co/pku74mnVVk https://t.co/QjU7VfJjSu,2020-03-27 17:36:34,TweetDeck,5,12,covid; 
We can’t fight a public health emergency of this caliber w/o patient-centered community care providers &amp; ample resources. @HHSGov grant to @mvhccares will go far in treating Ohioans and slowing the spread of #COVID19 which will protect our community. READ: https://t.co/6SK7iDByU4,2020-03-27 15:00:24,TweetDeck,2,4,covid; 
The #CARESAct includes protections for small businesses and gig economy workers an important step in delivering relief during this time of uncertainty. This is only the beginning we must continue working for these Americans beyond the #coronavirus crisis.,2020-03-26 17:32:01,TweetDeck,0,3,corona; 
During #COVID19 crisis we can't leave these gig economy workers behind   A bipartisan group of my colleagues &amp; I recently called on House leadership to ensure gig economy platform companies offering their workers protections have a safe harbor during this public health emergency https://t.co/EHzN4VHDOV,2020-03-26 17:31:08,TweetDeck,0,3,covid; 
Ohio's health care workers on the front lines of fighting #COVID19 are in need of protective gear such as gowns and masks.  Those with surplus equipment can donate via minimal contact drive up drop off locations listed on @OhioHealth's website ➡️ https://t.co/LMezuvMt9r,2020-03-26 16:03:44,TweetDeck,1,3,covid; 
Remember to take precautions to #SlowTheSpread of #COVID19: 🚰Wash your hands often ✋Avoid touching your face 🗣️Cough/sneeze into your elbow 🏠Practice #SocialDistancing 🤒Stay at home if you feel sick 👩‍⚕️Know when to call your doctor ⬇️See below from @OHdeptofhealth for more https://t.co/UicO05V9mz,2020-03-25 17:10:00,TweetDeck,2,3,covid; 
In working to prevent the spread of #COVID19 &amp; #FlattenTheCurve our nation's hospitals are seeing: 📈 More patients 📉 Fewer available medical supplies  Congress must ensure health care providers get the resources they need to fight this virus. We must act now.  ⬇️ LETTER ⬇️ https://t.co/EL6pzVAzC8,2020-03-25 16:40:25,TweetDeck,1,3,covid; 
Concern about #COVID19 is taking a toll on many Americans' mental health.  Resources are available for anyone who needs them ⬇️⬇️⬇️ https://t.co/c8QIq2I6S0,2020-03-24 18:36:01,TweetDeck,1,3,covid; 
Thank you to Ohio's health care workers! #InThisTogetherOhio #COVID19OhioReady https://t.co/JeSfhr7y68,2020-03-24 15:44:11,TweetDeck,3,5,covid; 
It's past time for the Senate to pass phase 3 of the #coronavirus funding package.  Stop the politics and start supporting the American people. https://t.co/nLuNarRoEs,2020-03-24 12:30:00,TweetDeck,69,242,corona; 
To those on the front lines of our nation's battle against the spread of #coronavirus #COVID19 thank you. 🇺🇸  #InItTogether #InThisTogetherOhio https://t.co/yAvWtGxMOD,2020-03-23 21:00:00,TweetDeck,1,7,covid; corona; 
I hear this every day: "When it comes to #COVID19 relief how can I help?"  Companies looking to sell or donate medical supplies equipment or services in response to #coronavirus can visit @fema website for guidance on donations volunteering &amp; more ➡️ https://t.co/7iaZ7mZQsG,2020-03-23 20:35:00,TweetDeck,1,5,covid; corona; 
Beware of fake #COVID19 tests during this global pandemic.  I cosponsor this legislation giving the FDA authority to destroy fake medical devices such as tests.  Let's get this passed immediately. https://t.co/fZL2tAOW3d,2020-03-23 19:31:39,TweetDeck,2,3,covid; 
The US Senate is playing politics with what should be a straightforward bipartisan relief package to help Americans amidst the Coronavirus pandemic.  Now more than ever it's time to put politics aside and pass this legislation. The American people deserve better. (3/3),2020-03-23 16:52:06,TweetDeck,3,10,corona; 
While millions of Americans stay home trying to protect themselves and their families from #COVID19  While tens of thousands of cases of #coronavirus have been confirmed around the US including more than 300 in Ohio (1/3),2020-03-23 16:51:08,TweetDeck,2,8,covid; corona; 
Ohio's #stayathome order takes place at midnight tonight.  Here's a guide to everything you need to know: https://t.co/QW4RUZESnb  #COVID19OhioReady,2020-03-23 14:30:00,TweetDeck,2,6,covid; 
OHIO SMALL BUSINESSES: Are you in need of assistance related to #coronavirus #COVID19?  There are several resources available to you on website: https://t.co/zjNvPAottl  Don't hesitate to contact my office with questions: 614-523-2555! https://t.co/g610UuOF7O,2020-03-23 14:15:00,TweetDeck,6,8,covid; corona; 
There are a lot of rumors and misinformation being spread about #coronavirus #COVID19  Here's a helpful tool to sort through what's true and what's false: https://t.co/iyCFeWXMpZ  RT to help spread truth and valuable information about #COVID19US,2020-03-23 13:46:45,TweetDeck,3,5,covid; corona; 
You can help ensure we don’t have another healthcare crisis on top of the #coronavirus by giving blood. A blood shortage could impact patients who depend on lifesaving blood to survive. If you are healthy schedule a @RedCross blood donation appointment: https://t.co/Xoa7AAc5QY https://t.co/jo4Z49wBqw,2020-03-22 13:00:00,TweetDeck,3,4,corona; 
I joined a bipartisan group of colleagues in sending a letter to House leadership addressing an issue important to businesses like restaurants across the nation including right here in Ohio. We hope this language is included in the 3rd phase of #COVID19 relief package. https://t.co/KdcEr3pGus,2020-03-21 20:37:27,TweetDeck,2,4,covid; 
While public health officials work to limit the spread of the #coronavirus #COVID19 we're asking for your help with another potential public health issue: a severe shortage of blood for patients. 💉🩸  Healthy donors are urged to make an appt w/ @RedCross https://t.co/Xoa7AAc5QY https://t.co/kVbRNjcy5D,2020-03-21 19:00:00,TweetDeck,3,3,covid; corona; 
After this bipartisan letter @RepCindyAxne and I sent USTR announced it will not impose tariffs on certain essential medical products such as ventilators and masks. This move is critical to strengthening the supply of PPE during #COVID19. https://t.co/w7TwcPwWJJ,2020-03-21 17:44:02,TweetDeck,3,7,covid; 
A #coronavirus side effect you might not have considered: Canceled blood drives &amp; fewer available blood donors. We're urging healthy eligible individuals to schedule a @RedCross blood donation appointment to help overcome a severe blood shortage: https://t.co/Xoa7AAtHfy #COVID19 https://t.co/KC3u9RN3AE,2020-03-21 12:00:00,TweetDeck,5,5,covid; corona; 
The @RedCross now faces a severe blood shortage due to an unprecedented number of blood drive cancellations during this #coronavirus outbreak. Healthy individuals are urged to donate now to help patients counting on lifesaving blood. Make an appt: https://t.co/Xoa7AAtHfy #COVID19 https://t.co/BZL5yTtIXm,2020-03-20 21:54:26,TweetDeck,2,2,covid; corona; 
Ohio’s health workers such as doctors nurses and emergency care providers are on the front lines of the battle against #coronavirus. To protect these workers as well as our communities care providers need ample supply of protective equipment like gloves and masks. (1/2),2020-03-20 19:39:58,TweetDeck,2,8,corona; 
🚨 ROBOCALL SCAM ADVISORY 🚨  The @FCC is warning of scam calls related to #coronavirus #COVID19. They are: ❌ Promoting bogus cures ❌ Offering fake test kits ❌ Sending hoax text messages ❌ Generally preying on virus-related fears  These are FAKE. More: https://t.co/oJK9NwVfZl,2020-03-20 18:30:00,TweetDeck,8,5,covid; corona; 
WHAT TO DO IF YOU'RE SICK 🤒😷  @CDCgov has a new SELF-CHECKER feature on their website to assess any symptoms you or a love one may be experiencing along with guidance on what to do if you're sick  ACCESS SELF CHECKER HERE ➡️ https://t.co/V0ICKJ5lt0  #coronavirus #COVID19,2020-03-20 18:04:17,TweetDeck,5,6,covid; corona; 
Yesterday @POTUS @realDonaldTrump signed the Families First Coronavirus Response Act. This bipartisan package includes free testing paid sick leave enhanced unemployment insurance and food security. I was thrilled to support it in the House and glad to see it become law! https://t.co/s1jJwJOS25,2020-03-19 18:15:00,TweetDeck,4,8,corona; 
Great news for Columbus-area residents 🚌🚌🚌  As of this morning @COTABus will not be charging fares during the #COVID19 pandemic!  In addition to practicing #SocialDistancing they ask that all customers board from rear entrance except those who need to use wheelchair ramp.,2020-03-19 17:25:44,TweetDeck,2,4,covid; 
@jgaud12 Great question Josh! Here is the footage of last week's press conference with @OHdeptofhealth's Dr. Acton when she explained the importance of #FlatteningTheCurve. https://t.co/XNPot8OJT9  With more questions on this you can call the Ohio #COVID19 Call Center: 1-833-4-ASK-ODH,2020-03-18 23:16:34,TweetDeck,0,2,covid; 
HAPPENING NOW: Join my live free telephone town hall with special guests @LtGovHusted and Dr. Andrew Thomas of @OSUWexMed discussing #COVID19  ☎️ 540-409-4375 x57098# ☎️ https://t.co/Gk3MSWa2FU,2020-03-18 22:02:28,TweetDeck,3,12,covid; 
Looking for info on: ✅ How to prevent the spread of germs? ✅ Small business help due to #COVID19? ✅ Unemployment assistance related to #coronavirus? ✅ Resources from @OHdeptofhealth &amp; @CDCgov? ✅ Latest COVID-19 updates?  We're here to help. Visit https://t.co/E3EmJgfzyd https://t.co/NgJ3S81TZq,2020-03-18 15:00:00,TweetDeck,5,15,covid; corona; 
What does #15DaystoSlowtheSpread mean? Experts believe that by: 🚰 Washing hands properly &amp; frequently 🧽 Sanitizing surfaces 🙅 Avoiding contact &amp; large groups 🏠 Staying at home  For 1️⃣5️⃣ days we will be able to #SlowtheSpread of #coronavirus in the U.S. Do your part to help!,2020-03-18 14:00:00,TweetDeck,2,11,corona; 
It's important we #FlattenTheCurve by practicing #SocialDistancing and taking other @CDCgov-recommended precautions to prevent the spread of #coronavirus. Learn more from officials at https://t.co/E3EmJgfzyd. https://t.co/bKehzcXXCy,2020-03-18 12:00:00,TweetDeck,1,2,corona; 
To combat #coronavirus the bipartisan package my colleagues and I passed will help ⬇️⬇️⬇️ https://t.co/AcJggIHRLL,2020-03-17 20:30:00,TweetDeck,12,56,corona; 
Last week my colleagues in the House and I passed an additional bipartisan funding package aimed at helping prevent the spread of #coronavirus and easing strains on families and small businesses. I urge my Senate colleagues to pass it quickly. https://t.co/QU3YldQOMc,2020-03-17 20:15:00,TweetDeck,3,2,corona; 
Looking for the most up-to-date information on #coronavirus #COVID19 #COVID19OhioReady?  Visit my website https://t.co/E3EmJgfzyd where you can find all this info and more ⬇️ https://t.co/eACxWGkNLA,2020-03-17 20:00:00,TweetDeck,3,2,covid; corona; 
OHIOANS: Trying to apply for unemployment benefits due to #COVID19 related closures? You can APPLY ONLINE by visiting https://t.co/fy46zG8V5c ⬇️ https://t.co/mz4qDXhP39,2020-03-16 17:19:39,Twitter for iPhone,1,1,covid; 
All #Ohio employees directly impacted by #COVID-19 business closures or quarantine are eligible to apply for unemployment and will not be subject to requirements to actively seek employment during this state of emergency. Check @OhioJFS website for more: https://t.co/mNbVo2ZvPP https://t.co/FLz9XEiOSa,2020-03-15 21:48:48,TweetDeck,7,8,covid; 
OHIO SMALL BUSINESSES:  See below for guidance on applying for low-interest loans in the wake of #coronavirus  ⬇️⬇️⬇️ https://t.co/M9dMTXuwq9,2020-03-15 21:36:50,TweetDeck,4,5,corona; 
OHIOANS: Thanks to our state's leaders like @GovMikeDeWine and @OHdeptofhealth there is an abundance of resources available to you and your families regarding #coronavirus #COVID19  You can access them all by visiting https://t.co/t4TqsX5tAs  ☎️ 1-833-4-ASK-ODH ☎️ https://t.co/aEfx8Cy8sd,2020-03-15 16:25:00,TweetDeck,2,7,covid; corona; 
Amidst the #CoronavirusPandemic we all want to keep ourselves and our loved ones safe  Thanks to @CDCgov you can access videos information and other resources on how to protect your family from the spread of #coronavirus #COVID19 by visiting my website https://t.co/t4TqsX5tAs https://t.co/t6eyr0BB3N,2020-03-15 12:00:00,TweetDeck,2,5,covid; corona; 
Wondering what the latest updates are on #coronavirus #COVID19?  Stay up-to-date with news from @CDCgov visit https://t.co/t4TqsX5tAs https://t.co/wcT1iCOHXS,2020-03-14 19:00:00,TweetDeck,1,2,covid; corona; 
Last night I voted in favor of the bipartisan #coronavirus package: ✅Free testing ✅Paid sick leave  ✅Enhanced unemployment insurance ✅Food security for seniors children &amp; low income families  No politics. No games. Just common sense solutions that put Americans' lives first.,2020-03-14 15:59:00,TweetDeck,4,29,corona; 
SMALL BUSINESS OWNERS: Is your small business being impacted by #coronavirus #COVID19?  If so there are resources available to you. Visit https://t.co/t4TqsXn4Z2 to learn more.  Don't hesitate to call my office for help ☎️614-523-2555 ☎️ https://t.co/Fq94IrGjeW,2020-03-14 15:00:00,TweetDeck,3,5,covid; corona; 
Wondering what the declaration of a national emergency means for #coronavirus? ✅ Mobilizing federal resources ✅ Empowering health care providers ✅ Rapidly expanding testing  Visit https://t.co/NJh0V8RCSr to learn more https://t.co/IdZiF7YjRM,2020-03-14 12:00:00,TweetDeck,4,6,corona; 
MY STATEMENT on tonight's passage of the #Coronavirus Economic Package ⬇️⬇️⬇️ https://t.co/h0S5rQyycE,2020-03-14 04:53:22,TweetDeck,4,9,corona; 
True leadership and service require sacrifice for the greater good. That's why I signed this letter with several of my colleagues urging @SpeakerPelosi to keep Congress in session until a #coronavirus bill is signed that will help contain the virus' spread and keep Americans safe https://t.co/7rc4pUMjkI,2020-03-14 03:26:26,TweetDeck,5,20,corona; 
Important that Ohioans have expanded access to #coronavirus tests if and when they need them. Glad to see this development! Many thanks to @ClevelandClinic for such a quick advancement on #COVID-19 test. https://t.co/WDgEdzugy5,2020-03-13 02:42:42,Twitter for iPhone,6,9,covid; corona; 
Thanks to @ColleenNBC4 for speaking with me this afternoon about #coronavirus #COVID19 and what my office is doing for Ohioans amid this pandemic. Catch the full segment on @NBC4TheSpectrum this Sunday! https://t.co/gm5biBeNRx,2020-03-12 21:56:37,Twitter for iPhone,5,18,covid; corona; 
Thank you @GovMikeDeWine #COVID19OhioReady https://t.co/h5nkynH8LK,2020-03-12 19:19:23,TweetDeck,1,3,covid; 
On Tuesday I held a telephone town hall w/ @DelawareHealth Commissioner Sheila Hiddleson on #coronavirus. With so many constituents on the line we weren’t able to get to everyone’s questions so my team and I are calling folks back today! Question? Visit https://t.co/E3EmJgfzyd https://t.co/xY3iqOyRDE,2020-03-12 19:03:37,Twitter for iPhone,5,13,corona; 
Glad to hear @POTUS @realDonaldTrump instruct @SBAgov to provide capital and loans for businesses affected by #coronavirus as well as deferring tax payments. I support these measures and payroll tax relief to back up our country's small businesses.,2020-03-12 01:27:25,TweetDeck,4,24,corona; 
OHIOANS: If you have a tour of the U.S. Capitol building scheduled through my office this month my staff will be in touch with you regarding tour cancellations due to #coronavirus. Please don't hesitate to reach out to my DC office with any questions or concerns: 202-225-5355. https://t.co/kQOAOW0kKW,2020-03-12 00:21:10,TweetDeck,3,5,corona; 
🚨 OHIO: Looking for the most up-to-date information on #Coronavirus #COVID19 #COVID19US?  Visit my website https://t.co/E3EmJgfzyd for: ✅ Info on Prevention and Risks ✅ CDC Guides and Updates ✅ Local and Statewide Resources  Don't hesitate to call my office! ☎️ 614-523-2555 https://t.co/xuWKk3OsPo,2020-03-11 17:08:46,TweetDeck,6,8,covid; corona; 
Dial (540) 409-4375 (ext. 56630 #) NOW to join my live community teletownhall with the @DelawareHealth Commissioner to have your questions answered on #COVID2019. https://t.co/GSmMgsyn77,2020-03-10 22:23:45,Twitter Web App,2,7,covid; 
My office continues to serve as a resource to any constituents who have questions or concerns about #COVID19 #coronavirus  I am in constant communication with fed state &amp; local officials including @GovMikeDeWine and @OHdeptofhealth  Visit https://t.co/E3EmJgfzyd for more info https://t.co/aumbq4VBOk,2020-03-09 19:46:46,TweetDeck,3,4,covid; corona; 
Do you know the symptoms of #coronavirus #COVID19?  Here's what YOU can do to protect yourself loved ones and others: 🧼 Wash hands 😷 Cover mouth 🤝 Avoid touching 🤒 Stay home if you feel sick 👩‍⚕️ Know when to see a doctor  Visit https://t.co/E3EmJgfzyd for more info &amp; help! https://t.co/kzySh5Ldge,2020-03-09 17:54:29,TweetDeck,4,5,covid; corona; 
As we work to stop #coronavirus spread let’s also reflect on workplace policies to ensure safe &amp; healthy environments. From day 1 my office has provided paid family &amp; med leave. My bill the #VAlueFAAmilyAct would extend 12 weeks of FMLA to fed employees. https://t.co/dXEW1qHYWP,2020-03-05 15:46:28,Twitter for iPhone,2,6,corona; 
What can YOU do to help prevent the spread of #coronavirus?  🌡️ Know the symptoms 🧼 Wash your hands 😷 Cover your mouth 🤝 Avoid touching 🤒 Stay at home if you feel sick! 👩‍⚕️ Know when to go to the doctor  Visit https://t.co/E3EmJgfzyd to learn more &amp; request help #COVID19 (3/3) https://t.co/EHkxQOICOf,2020-03-04 22:10:56,TweetDeck,2,2,covid; corona; 
Additionally this bill includes $1 billion for state and local response efforts including in Ohio among other funding. #coronavirus #COVID19 (2/3) https://t.co/QqM7zTfxOy,2020-03-04 22:06:49,TweetDeck,1,3,covid; corona; 
I just voted in favor of the supplemental funding bill to help contain and prevent the spread of #coronavirus. I'm glad my colleagues and I could work quickly to pass this bill and put the public's health ahead of politics. (1/3) https://t.co/V4OOsdw8Os,2020-03-04 22:06:09,TweetDeck,2,9,corona; 
UPDATE ON #CORONAVIRUS:  I am coordinating with federal state and local officials from @WhiteHouse @CDCgov @HHSGov @GovMikeDeWine &amp; Ohio counties’ public health offices on #COVID19.  My office is ready to assist in any way: ☎️ 614-523-2555 💻 https://t.co/E3EmJgfzyd,2020-02-28 17:02:35,TweetDeck,2,6,covid; corona; 
