My statement on my mother's passing and my COVID-19 positivity. https://t.co/q2czr3TiEQ,2020-11-26 02:13:07,Twitter Web App,87,1140,covid; 
#COVID19 has shown us how important mental health substance use disorder treatment and medical research are. This week I and 57 Democratic and Republican colleagues sent a letter to congressional leadership urging them to prioritize these areas in future relief packages. https://t.co/a6dQwzNt2v,2020-08-08 17:33:00,TweetDeck,5,21,covid; 
With so many Americans without a job and health coverage I led 35 of my colleagues in sending a letter to House &amp; Senate leadership urging them to include a temporary increase to federal funding for state Medicaid programs in the next #COVID19 relief package. https://t.co/E0PLRDvi80,2020-08-06 23:51:49,Twitter Web App,5,20,covid; 
The $600/week in unemployment benefits have been a vital lifeline for millions of Americans during #COVID19 but politicians like Mitch McConnell don’t seem to care.   We need to let them know why it matters. Comment below on how these benefits have helped you. https://t.co/ctm3ooQF4X,2020-08-04 23:29:30,Twitter for iPhone,8,43,covid; 
Before during and after #COVID19 preventing and reducing veteran suicide is a top priority for me and my colleagues on both sides of the aisle at @VetAffairsDems. https://t.co/BgYsGZMW5J,2020-08-04 20:00:01,TweetDeck,3,13,covid; 
Today I introduced a bill to restart a successful 2008 Great Recession workforce training program at community colleges.   The workforce is already changing rapidly thanks to #COVID19. The next wave of workers needs to be ready.   Read more here:  https://t.co/gm7JwgMKcC,2020-08-04 18:09:56,TweetDeck,1,9,covid; 
Without a strong national testing and tracing plan some Americans are waiting over two weeks to get their #COVID19 test results back.   We can’t fully reopen our economy - or our schools - without a real testing plan. https://t.co/8dX9ufLeg5,2020-08-03 21:45:00,TweetDeck,2,13,covid; 
#ICYMI: It was great sitting down (virtually) with @ACDCNV to have a constructive conversation about what we need to do to help the #AAPI community during #COVID19.  https://t.co/S3S2jCbSnk,2020-08-02 21:14:35,Twitter for iPhone,5,7,covid; 
Yesterday @ClarkCountySch handed out it’s 5 millionth meal to students during #COVID19.   So thankful for the CCSD Food Service and all of the volunteers making sure our kids don’t go hungry during this pandemic.,2020-08-01 22:05:13,Twitter for iPhone,11,76,covid; 
Rep. Lee - "Our most important tool to get kids back in classrooms is to stop the community spread of #COVID19. That's why it's so important that each of us follow guidelines to stop the spread and also for Congress to get our school districts resources to stop the spread.”,2020-08-01 18:31:57,Twitter for iPhone,1,3,covid; 
An important #COVID19 testing location change in southern Nevada👇 https://t.co/mjmOoW8Wmv,2020-07-30 22:00:30,TweetDeck,1,7,covid; 
.@RepJimBanks and I introduced the bipartisan VA Telehealth Expansion Act to expand telehealth services for veterans at @DeptVetAffairs during #COVID19.  We can't let this pandemic compromise health care for our veterans. This bill would make sure of it. https://t.co/WfcLEdkb1D,2020-07-30 20:04:51,TweetDeck,6,14,covid; 
Is COVID a carb?  #OnWednesdaysWeWearPink https://t.co/avC9EplKTl,2020-07-29 20:31:01,Twitter for iPhone,5,56,covid; 
#COVID19 has devastated the child care sector forcing closures and creating a shortage of affordable child care for working families.   Today the House is voting on two bills to improve vital child care services during this pandemic. #SaveChildCare https://t.co/ZI2ngyyKSm,2020-07-29 19:15:00,TweetDeck,10,12,covid; 
#ICYMI: I spoke with @KNPRnews to discuss the #COVID19 emergency unemployment benefits set to expire at the end of this month.  Bottom line: if we care about working families we need to pass the #HeroesAct to extend these vital benefits. https://t.co/tsJjYmJVy1,2020-07-27 23:19:00,TweetDeck,5,8,covid; 
Say it with me: Asian Americans are not responsible for the spread of #COVID19. Any racism harassment or discrimination is completely unacceptable and won’t be tolerated in this country.   My colleagues and I are making sure this administration is on the same page. https://t.co/Knz3vgOv5C,2020-07-27 21:22:00,TweetDeck,15,74,covid; 
.@UWSN la Facultad de Salud Pública de @UNLV y @NVMHEC tendrán un seminario en línea y en español para hablar sobre el impacto de #COVID19 en la comunidad latina e hispana y ofrecer un foro para los hispanohablantes para hacer preguntas a expertos.  Detalles 👇 https://t.co/nc3jeBbBVc,2020-07-27 19:45:00,TweetDeck,0,0,covid; 
.@UWSN @UNLV School of Public Health and @NVMHEC are hosting a Spanish-language webinar to address the impact of #COVID19 in the Latinx and Hispanic community and provide a forum for Spanish speakers to ask questions to experts.   Details👇 https://t.co/kNtEYS1mXS,2020-07-27 19:35:00,TweetDeck,0,2,covid; 
Contact tracing slows the spread of #COVID19. See these answers to Frequently Asked Questions about contact tracing: https://t.co/eocBSBDtgD. #slowthespread https://t.co/gZKuHIXh24,2020-07-25 22:18:01,Twitter for iPhone,1,6,covid; 
Special education is already chronically underfunded and this pandemic is making things worse.   My colleagues and I are calling for emergency IDEA special education funding to properly support students with disabilities during #COVID19. https://t.co/0NiJ9Pb0gO,2020-07-24 20:00:01,TweetDeck,2,14,covid; 
#COVID19 unemployment benefits are set to expire on July 31st. Politicians like Mitch McConnell claim these benefits are too high for struggling families.  I want to hear from you: how has PUA or the extra $600/week in unemployment helped you?  #TellMitch your story comment👇 https://t.co/jsm35IRLPM,2020-07-22 20:26:22,Twitter for iPhone,10,44,covid; 
Tune in at 11AM PT TODAY for a Facebook Live roundtable with me and @ACDCNV.We’ll be talking about #COVID19 education financial security and our work to support the southern NV #AAPI community. Details👇 https://t.co/BHMoBP3ajY,2020-07-22 17:54:33,Twitter for iPhone,2,5,covid; 
Tomorrow at 11AM PT join me and @ACDCNV for a Facebook Live roundtable. We’ll be talking about #COVID19 education financial security and our work to support the southern NV #AAPI community. See you then!  https://t.co/NXGMRJgfNp,2020-07-21 21:54:20,Twitter for iPhone,2,4,covid; 
Remember contact tracing is key to slow the spread of #COVID19. If you get a call or voicemail from our hard-working Nevada contact tracers please do you part and take the call! https://t.co/GcOXAfIquO,2020-07-20 22:00:00,TweetDeck,1,4,covid; 
🚨Nevada’s #COVID19 Rental Assistance Program is now taking applications🚨  Learn more at: https://t.co/me4I9kWZdN https://t.co/IimdzFi5gR,2020-07-20 21:30:00,TweetDeck,1,2,covid; 
May 15: 1449026 COVID-19 cases in the US Now: ~3800000 US cases  It’s been two months since the House passed the #HeroesAct – and STILL Mitch McConnell refuses to act.,2020-07-20 19:47:41,TweetDeck,19,40,covid; 
Nevada needs help. Dozens of states need help to provide the services our workers families and hospitals need to make it through #COVID19.   The #HeroesAct includes $8.7 billion in relief for Nevada.   Let’s start there.  https://t.co/MrvqMKVedM,2020-07-15 20:56:21,Twitter for iPhone,3,8,covid; 
Our best shot at stopping the spread of #COVID19 is by following the lead of our nation’s top health experts like Dr. Fauci.   Increase testing. Increase contact tracing. Increase support for states and local communities.,2020-07-13 18:55:00,TweetDeck,9,51,covid; 
Schools need MORE funding not less to set up proper health and safety measures against #COVID19.  If you want schools to reopen on time - as we all do - help them don’t threaten them. https://t.co/3SDNkftpya,2020-07-08 20:25:57,Twitter for iPhone,14,36,covid; 
Today at 1:15pm PT tune in to my Facebook Live with the Nevada Association of School Superintendents. We’ll be discussing what we need to do to properly fund our classrooms during #COVID19. Details👇 https://t.co/09k9K7tBv3,2020-07-08 17:12:00,TweetDeck,1,6,covid; 
Arbitrarily preventing nearly 100 @ClarkCountySch teachers from entering the country is a devastating blow as school districts across the U.S. are already facing serious uncertainties from #COVID.  @RepDinaTitus &amp; I are urging @realdonaldtrump to reverse this dangerous decision. https://t.co/jXQ1YRMAfR,2020-07-08 02:29:58,Twitter for iPhone,14,52,covid; 
An amazing effort. Thank you @DeliverWDignity for doing your part to help Nevadans in need during #COVID19. https://t.co/kka2OT9v32,2020-07-07 21:45:00,TweetDeck,2,4,covid; 
This is great news and exactly the relief we‘ve been fighting for on behalf of smaller communities left out of some initial CARES Act #COVID19 relief funding.   I’ll keep pushing Congress to prioritize federal relief for all states and for EVERY community. https://t.co/Dro65EDera,2020-07-07 21:07:45,TweetDeck,2,3,covid; 
Nevada is losing billions in revenue from #COVID19. It’s going to hurt our schools health care and other key state programs.   We secured roughly $8 billion in direct assistance for Nevada (and billions more for all states) in the #HeroesAct for reasons like this.,2020-07-05 17:45:21,Twitter for iPhone,9,47,covid; 
More than 120000 have lost their lives to #COVID19 cases are climbing millions are still out of work and states like Nevada need federal assistance to deal with massive budget shortfalls.   It’s time for the Senate to pass the #HeroesAct.,2020-07-03 23:56:28,Twitter for iPhone,10,37,covid; 
This is absurd. We’re in the middle of a public health crisis. Everyone who needs #COVID19 treatment should be able to get it. https://t.co/Zpv4GZ6hiP,2020-07-02 15:11:45,Twitter for iPhone,7,30,covid; 
We need universal #COVID19 testing. We need contact tracing. We need a national testing strategy. This is common sense.    Speaking of wear a mask.,2020-07-01 17:58:01,Twitter for iPhone,13,107,covid; 
TODAY AT 11AM PT I’m hosting a roundtable with Nevada public workers to discuss #COVID19’s impact on state and local services and solutions to secure federal relief to help our state with budget shortfalls. See you then!  Details👇 https://t.co/4LJcyqJ4QX,2020-06-30 17:26:39,Twitter for iPhone,1,5,covid; 
TOMORROW I’m hosting a roundtable with Nevada public workers.   We’re going to discuss #COVID19’s impact on state and local services and solutions to secure federal relief to help states like Nevada with budget shortfalls.   Details👇 https://t.co/4h8T15XkbG,2020-06-29 20:38:42,TweetDeck,3,2,covid; 
Need to get tested for #COVID19? Here’s what to expect at @SNHDinfo’s testing sites. https://t.co/k0vMKt4Gck,2020-06-28 00:08:00,TweetDeck,6,8,covid; 
Nevada is facing a nearly $1 billion budget shortfall unemployment is rising &amp; the admin is threatening to cut federal funding for #COVID19 testing.  If we’re going to contain this crisis &amp; help working families we need to increase federal funding to states &amp; communities. Now.,2020-06-25 20:00:00,TweetDeck,3,20,covid; 
States and communities need federal funding now more than ever for testing to slow and stop the spread of #COVID19.   We’re moving in the wrong direction. https://t.co/E5fJxbdY4h,2020-06-25 18:21:33,Twitter for iPhone,2,6,covid; 
Great news. Thanks to CARES Act funding the Las Vegas Natural History Museum is receiving an economic stabilization grant to retain employees and make ends meet during #COVID19. @LVNHMuseum https://t.co/h2dvJCwSBr,2020-06-24 19:14:39,Twitter for iPhone,3,13,covid; 
I also introduced the Equity in Student Loan Relief Act which would qualify FFEL student loan borrowers for #COVID19 relief.   Bottom line: EVERY student borrower deserves help during this pandemic.  https://t.co/gV2PEHUTaM,2020-06-24 13:18:56,Twitter for iPhone,1,5,covid; 
Under the CARES Act Congress halted monthly student loan payments. But some borrowers were left out including those with Perkins Loans.   Our bipartisan bill makes sure no student borrowers have to worry about burdensome monthly loan payments during #COVID19. @RepKatiePorter https://t.co/d3peWS6BKp,2020-06-24 13:18:56,Twitter for iPhone,5,14,covid; 
We need to include the Mental Health Services for Students Act in any upcoming #COVID19 relief package to provide mental health services to young kids and students. https://t.co/FzvavghX00,2020-06-23 19:26:36,TweetDeck,2,14,covid; 
Today I’m leading a @VetAffairsDems hearing examining VA’s telehealth operation during #COVID19   Now more than ever telehealth is vital to getting our veterans the care they deserve.  https://t.co/DG0MkFRoCM,2020-06-23 17:56:19,Twitter for iPhone,6,13,covid; 
Find #COVID19 testing sites near you👇 https://t.co/mcfXe0ABMz,2020-06-22 01:30:37,Twitter for iPhone,4,10,covid; 
#Coronavirus has not left Nevada:   Wear a Mask.  Get tested. Support funding for states and local communities.  Pass it on.,2020-06-18 20:44:29,TweetDeck,29,93,corona; 
#ICYMI: #COVID19’s fallout is devastating state and local budgets especially in Nevada.   If Congress doesn’t step in to help our schools hospitals and communities will suffer the most. @EdLaborCmte https://t.co/PXi5tsWwlT,2020-06-16 20:40:00,TweetDeck,8,9,covid; 
If you’ve been at any of the public protests in large crowds or if you think you’ve been exposed to someone with #COVID19 please get tested. Find NV testing locations &amp; FAQ’s here: https://t.co/cSpsvjgBvA.,2020-06-16 17:45:02,Twitter Web App,4,7,covid; 
Bottom line: If we let our states and communities go bankrupt we’re bankrupting our children’s future.   @CenterOnBudget’s Michael Leachman lays out why Congress needs to help states with massive budget shortfalls from #COVID19👇 https://t.co/LqC3RRX8Jn,2020-06-15 22:17:32,Twitter for iPhone,6,12,covid; 
Thank you #NV03 for tuning in and asking questions during my town hall this weekend.   If you missed out on the town hall don’t hesitate to contact my office or check out my Coronavirus Constituent Resources guide on my website.  https://t.co/VQt12Wn53T,2020-06-15 18:00:26,Twitter for iPhone,1,4,corona; 
By no means is the pandemic in our rear-view mirror yet.  Find #COVID19 Nevada testing locations &amp; FAQ’s here: https://t.co/cSpsvjgBvA https://t.co/XvARIcP0XC,2020-06-15 01:11:32,Twitter for iPhone,8,16,covid; 
Nevadans are being furloughed because of massive budget shortfalls from the fallout of #COVID19.  This is not a hypothetical conversation. Congress needs to pass federal assistance for states and communities to help with budget shortages NOW. https://t.co/p0UFrUwVRg,2020-06-14 18:45:41,Twitter for iPhone,5,25,covid; 
🚨TOWN HALL TOMORROW🚨  Join me @Narfnampil and @LegalAidSNV’s Jim Berchtold for a #COVID19 virtual town hall to ask questions about COVID-19 resources policy and our work for Nevada’s workers and families. RSVP👇  https://t.co/8eVmFJ5eJq,2020-06-12 22:35:24,Twitter for iPhone,4,8,covid; 
Today my @VetAffairsDems colleagues and I held a hearing on @DeptVetAffairs’ response to the #COVID19 pandemic.  Even during an unprecedented crisis we need to guarantee that our veterans can access the health care they deserve. https://t.co/7iWMzDYR81,2020-06-12 01:03:11,Twitter for iPhone,3,9,covid; 
Important information if you have not yet received your stimulus check👇  If you have more questions about #COVID19 resources tune in to my telephone town hall this Saturday with @Narfnampil and @LegalAidSNV’s Jim Berchtold. RSVP here: https://t.co/8eVmFJ5eJq https://t.co/SwH4A2SriR,2020-06-12 00:24:44,Twitter for iPhone,4,7,covid; 
Today I visited @ClarkCountySch #COVID19 food distribution site at Del Sol High School &amp; talked with @SuptJaraCCSD about their efforts to provide school meals to students in need.  We’re not out of the woods yet. We have to keep supporting and improving services like this. https://t.co/SaAmwZGRfg,2020-06-11 23:13:14,Twitter for iPhone,4,46,covid; 
TESTING LOCATION UPDATE: An additional drive-through #COVID19 testing site has been opened at the @Walmart at 540 Marks St in Henderson. Schedule a testing appointment at this location or other @QuestDX sites here: https://t.co/DzKfJDP0L1,2020-06-11 22:26:19,Twitter for iPhone,3,7,covid; 
#COVID19 is not yet in our rear-view mirror. We must continue getting relief and resources to states communities and frontline health workers and lay out long-term plans for vaccine deployment public health safety and economic recovery. https://t.co/8AT5oY5KdO,2020-06-10 20:35:51,Twitter for iPhone,4,15,covid; 
Tune in for my #COVID19 telephone town hall this Saturday June 13.   I’ll be joined by Nevada experts to answer questions about the federal government’s response to COVID-19 and financial resources available to Nevadans. RSVP and details 👇 https://t.co/MGj7um1dsn,2020-06-10 19:37:54,TweetDeck,2,5,covid; 
Read my op-ed laying out exactly what Congress must do to get resources and #COVID__19 relief to our states and local communities. https://t.co/s0fYICjYSI,2020-06-10 19:05:14,Twitter for iPhone,2,4,covid; 
Through #COVID19 federal relief Nevada will be receiving an additional $60.9 million for safety net hospitals that serve our most vulnerable Nevadans.  The pandemic is not in our rear-view mirror. Frontline workers need our absolute support right now. This is a good step. https://t.co/T8C0IMPnwN,2020-06-10 17:08:18,Twitter for iPhone,1,6,covid; 
Nevada’s budget could see a shortfall of up to $911 million because of #COVID19. That will  directly hurt communities and working families.  There are concrete steps Congress can &amp; must take to help with these shortfalls. I lay out those solutions here⬇️ https://t.co/s0fYICjYSI,2020-06-09 23:14:04,Twitter for iPhone,2,7,covid; 
Remember #COVID19 testing is now widely available in most communities. If you’ve been in close contact with others or in a situation where you may have been exposed to the virus please get yourself tested. Check out where and how to do that below. https://t.co/MX57w0bmRK,2020-06-09 21:05:43,TweetDeck,2,6,covid; 
📣NV03📣  I’m hosting a #COVID19 telephone town hall this Saturday June 13 with Nevada experts to discuss the resources and economic assistance to help Nevadans during this pandemic. RSVP and details 👇 https://t.co/MGj7um1dsn,2020-06-08 23:02:51,TweetDeck,4,12,covid; 
We’ve secured billions in federal aid to help Nevadans during #COVID19. We’re not out of the woods yet &amp; by no means am I done fighting in Congress to get Nevadans the relief we need.   For more info on #COVID19 resources check out my resources guide: https://t.co/vfkM7M9v4y https://t.co/rgwMnY6vCv,2020-06-08 21:22:19,Twitter for iPhone,0,6,covid; 
Absolutely. Schools and libraries need funding for Wi-Fi hotspots modems routers &amp; devices to provide internet connectivity to students during #COVID19.   No matter the circumstances we must always treat education like the national priority that it is. https://t.co/rovBmzbnN9,2020-06-04 18:00:00,TweetDeck,2,6,covid; 
My colleagues and I sent a letter to leadership to address the shortage of syringes needles and materials needed to effectively deploy a future vaccine for the #coronavirus.   We need to be ready. https://t.co/jRrmmObEir,2020-06-04 16:59:58,TweetDeck,3,15,corona; 
This is exactly the kind of collaborative plan Nevadans need to track and limit the spread of COVID-19 through targeted mass testing. Glad I was able to work with the Nevada delegation to help expand the federal funds available for this kind of contact tracing and testing. https://t.co/FcilkXIheT,2020-06-03 01:05:46,Twitter for iPhone,1,4,covid; 
I’ve stood with my colleagues especially @RepSchakowsky to push the admin to collect and report data on how COVID-19 is affecting nursing homes and long-term care facilities. This shouldn’t be up for debate. We need to protect our seniors immediately.  https://t.co/PaUszmUjhr,2020-06-02 18:49:09,Twitter for iPhone,0,3,covid; 
We need accurate data on nursing home exposure to #COVID19 so we can better stop and prevent its spread.  After continued requests from Americans and members of Congress @CMSGov states that they will start publicly reporting data later this week which is a good start. 1/2 https://t.co/kwFTg3JTrL,2020-06-02 18:49:08,Twitter for iPhone,4,9,covid; 
We’ve secured billions in federal aid to help Nevadans during #COVID19. We’re not out of the woods yet &amp; by no means am I done fighting in Congress to get Nevadans the relief we need. For more info on #COVID19 resources check out my resources guide here: https://t.co/gc9MZB3R2C https://t.co/dC5ydbIjFR,2020-06-01 21:00:42,Twitter for iPhone,1,5,covid; 
This week the House passed smart bipartisan bills to support #veterans during and beyond #COVID19 including @RepElaineLuria’s bill to increase the Cost of Living Adjustment (COLA) for disabled veterans.   We need to look out for our veterans now more than ever. https://t.co/6RfAmfBufW,2020-05-29 20:50:32,Twitter for iPhone,3,6,covid; 
#COVID19 is devastating state and local budgets and it’s classes like Mr. Belknap’s that are going to bear the brunt of those funding cuts. That’s not right.   Congress needs to prioritize funding relief for states and communities. https://t.co/1zZcnj7NdO,2020-05-29 19:12:58,Twitter for iPhone,4,20,covid; 
Great town hall tonight with @LasVegasACC &amp; NV @SBAgov’s Joe Amato.   We answered some important questions on the state of #COVID19 resources for working families and small businesses and what we can do to support the #AAPI community during this crisis. Thanks for hosting us! https://t.co/e2TOmPHupk,2020-05-29 02:53:27,Twitter for iPhone,1,3,covid; 
Check out my #Coronavirus Constituent Resources Guide to learn more about:   ✅Unemployment insurance  ✅Direct cash payments ✅Homeowner &amp; renter info ✅Small business programs ✅Student borrower info and more https://t.co/gc9MZB3R2C,2020-05-29 01:43:26,Twitter for iPhone,3,3,corona; 
Millions of laid-off workers lost their health coverage b/c of #COVID19. Make sure you know the deadlines &amp; details for different plans and coverage.   For Nevadans make sure you also check out @NVhealthlink for up-to-date info on state coverage.  https://t.co/EgsewiC67H,2020-05-27 19:47:58,Twitter for iPhone,2,1,covid; 
To self-employed Nevada workers: make sure you review the newly updated PUA Claimant Guide if you’re applying for unemployment benefits.  As always feel free to reach out to my office or check out my Coronavirus Constituent Resource Guide: https://t.co/gc9MZB3R2C https://t.co/e3XC2Qvu0L,2020-05-27 00:09:45,Twitter for iPhone,2,6,corona; 
If for-profit schools close because of #COVID19 the 2019 Borrower Defense Rule will leave students borrowers with little to no relief as their loans pile up.  My bipartisan bill overturns this harmful rule and enacts the protections our students need. https://t.co/x9xtp9tw1U,2020-05-26 19:48:03,TweetDeck,2,4,covid; 
States like NV need direct assistance asap to make up for huge budget shortfalls because of the economic fallout of #COVID19.   The #HeroesAct includes ~$8 billion in direct assistance for our state.  https://t.co/zk1ezZwyHB,2020-05-23 20:34:33,Twitter for iPhone,2,9,covid; 
My virtual town hall with @alzassociation @alzdsw is underway! We’ll be talking about how #COVID19 is affecting some of our most vulnerable Americans and what more we need to do to protect everyone during this unprecedented crisis.  Dial in now: 415-466-7000 Pin: 7292755# https://t.co/Xg2NeBLcNx,2020-05-21 21:24:11,Twitter for iPhone,2,9,covid; 
Great talking with former @CMSgov head @ASlavitt about his insight and expertise on #COVID19 and the serious steps we need to take as a country to prepare for reopening. @ProbSolveCaucus https://t.co/7Nv25htCnc,2020-05-21 20:06:05,TweetDeck,17,91,covid; 
.@CityofLasVegas has launched the Business Preparedness Grant Program to provide PPE and #COVID19 health and safety measures to Las Vegas small businesses as they prepare to reopen. Spread the word and learn more here! https://t.co/GRkFHc3IDV,2020-05-21 19:01:03,TweetDeck,4,6,covid; 
Check out my #Coronavirus Constituent Resources Guide. Take a look if you want to know more about:   ✅Unemployment insurance  ✅Direct cash payments ✅Homeowner &amp; renter info ✅Small business programs ✅Student borrower info and more  https://t.co/2wTu5sZJMX,2020-05-21 01:00:00,TweetDeck,5,10,corona; 
This morning I joined my @NewDemCoalition colleagues on a call with Dr. Anthony Fauci who shared his insight on the #COVID19 pandemic and important considerations to make as we look to reopen.  Above all else we have to remember to listen to the experts &amp; follow the science. https://t.co/9CvfRAkZqD,2020-05-20 20:49:19,TweetDeck,4,9,covid; 
The real way to thank health workers is by getting them the PPE and medical resources they need during #COVID19. That’s why I voted for the #HeroesAct.   Anything short is not enough.,2020-05-19 19:00:00,TweetDeck,5,13,covid; 
Nevada has already lost billions in revenue from #COVID19. It’s going to hurt our schools health care and other key state programs.   We secured roughly $8 billion in direct assistance for Nevada (and billions more for all states) in the Heroes Act for reasons like this. https://t.co/tmvVJj6rdu,2020-05-19 18:18:26,Twitter for iPhone,2,3,covid; 
Get tested for #COVID19 at @Walmart. Details below👇 https://t.co/Pni9hYB82f,2020-05-19 00:44:36,Twitter for iPhone,4,7,covid; 
Like I’ve been saying the HEROES Act isn’t perfect but we passed a lot of important assistance for families and workers like my provision to increase federal aid for state Medicaid programs amid #COVID19. https://t.co/rfgkeLwNyY,2020-05-18 21:18:34,Twitter for iPhone,1,12,covid; 
DEADLINE EXTENDED: @FEMA has extended the deadline for the #COVID19  Staffing for Adequate Fire &amp; Emergency Response (SAFER) program grant applications until May 27.   These grants can help keep firefighters on the job when we need them most. Apply today! https://t.co/JLzMW5gyzS,2020-05-18 20:29:47,Twitter for iPhone,2,3,covid; 
While this bill is imperfect I could not vote to derail this critical aid that will support direct services in our communities. I’m proud that many key coronavirus response provisions I have advocated for are reflected in the Heroes Act. 4/6,2020-05-16 02:04:14,Twitter Web App,0,3,corona; 
During the #coronavirus pandemic working families have been left unable to make ends meet businesses risk laying off staff and closing permanently and students are left wondering what the future of their education will look like. 1/6,2020-05-16 02:04:14,Twitter Web App,5,13,corona; 
The scope of the #coronavirus pandemic’s impact on our public health system and economy is unprecedented. Although this bill isn’t perfect this is why I’m voting for the #HeroesAct. https://t.co/p4QNho2c3Q,2020-05-16 00:43:20,Twitter Web App,260,1133,corona; 
The #coronavirus pandemic has given this #MentalHealthMonth new meaning. The pandemic impacts our mental health as much as our physical health. Check out these resources in case you need a helping hand and please share with loved ones and friends.  https://t.co/myMNe6FoCk,2020-05-14 20:36:00,TweetDeck,7,8,corona; 
.@HUDgov announced that it allocated $9939507 from the #CARESAct to Nevada’s state government through its Community Development Block Grant program. Grants like this will help our community get back on our feet from the #coronavirus pandemic.,2020-05-14 01:22:00,TweetDeck,6,7,corona; 
Glad to have joined @RepHorsford and @RepDinaTitus in giving an update to @ClarkCountySch social studies students on what we’ve been doing in Congress to tackle the #coronavirus pandemic. Thank you for all your great questions. https://t.co/QW64JeLxHK,2020-05-14 00:39:12,Twitter Web App,6,30,corona; 
Renters and homeowners here are some helpful resources for you as we continue to tackle the #coronavirus pandemic. https://t.co/DFkWnoRLFe,2020-05-13 02:43:00,TweetDeck,4,6,corona; 
As #NationalNursesWeek comes to a close let’s not forget that our nurses need critical PPE as they tackle the #coronavirus pandemic on the front lines. I stand with our nurses in demanding that they get all the resources they need to protect themselves and our community.,2020-05-13 00:27:38,Twitter Web App,7,15,corona; 
Throughout the #coronavirus pandemic @GoldenKnights have donated over 10000 meals to our community’s first responders and medical professionals. Thank you for supporting those on the front lines.  https://t.co/tb9mAfwqnz,2020-05-11 23:47:00,TweetDeck,3,15,corona; 
The #coronavirus pandemic has been tough for all of us. But don’t lose hope. We’ll get through this.,2020-05-10 20:34:00,TweetDeck,8,56,corona; 
La pandemia ha sido dura para nuestra comunidad y nuestro país. Si necesita más información o recursos locales sobre el #coronavirus aquí en el sur de Nevada visite https://t.co/ET5L12Puup para acceder mi guía de recursos sobre el coronavirus.,2020-05-09 23:33:00,TweetDeck,3,3,corona; 
The pandemic has been tough for our community and country. If you need #coronavirus information or local resources right here in Southern Nevada visit https://t.co/ET5L12xT5P to access my coronavirus resources guide.,2020-05-09 23:12:00,TweetDeck,2,2,corona; 
This bill would help nursing facilities access telehealth services and obtain tech to allow virtual visits during the #coronavirus pandemic. Read more here. https://t.co/LNop6nnMba,2020-05-08 22:23:31,Twitter Web App,0,1,corona; 
Yesterday @CMSGov announced that for the first time ever in their history all 15000 of the nation’s nursing homes will now have to report all confirmed and suspected #coronavirus cases among residents and staff to @CDCgov. 2/3,2020-05-08 19:36:33,Twitter Web App,0,3,corona; 
Last month @RepSchakowsky and I sent a letter to @HHSGov and @CMSGov requesting that they immediately collect and publicly report facility-level data on the number of long-term care residents affected by #COVID19. 1/3,2020-05-08 19:36:33,Twitter Web App,3,5,covid; 
TUNE IN: I’m speaking at the @ProbSolveCaucus’s Virtual Congress now on why our small cities like Henderson and Boulder City need #coronavirus relief. https://t.co/EU6IWdTN23,2020-05-07 20:04:17,Twitter Web App,1,1,corona; 
.@ClarkCountyNV and @UMCSN opened a drive-through COVID-19 test location at the Orleans Hotel today. Testing is by APPOINTMENT ONLY. Head to https://t.co/1t3cy56atj to schedule an appointment.   More details below. https://t.co/y40XZvhKH0,2020-05-06 00:31:54,Twitter Web App,2,9,covid; 
The #coronavirus pandemic has been one of the toughest challenges our educators have had to face in recent memory. Now more than ever thank you. 1/2 https://t.co/2IbP5LWuwC,2020-05-05 23:37:43,Twitter Web App,2,20,corona; 
https://t.co/Lm29fJioz0 helps connect Nevadans--especially seniors--with the resources they need to get help during #COVID19. See their hotline below and check out their website to help connect with resources to access medical social and daily essential items. https://t.co/FYvfGvQIcC,2020-05-04 22:37:22,Twitter for iPhone,2,4,covid; 
.@ClarkCountyNV and @UMCSN are opening a drive-through COVID-19 test location at the Orleans starting tomorrow. Testing is by APPOINTMENT ONLY. Head to https://t.co/1t3cy56atj to schedule.   This is a great initiative. We need to continue to expand access to testing. https://t.co/AOdn0X58yd,2020-05-04 20:39:46,Twitter for iPhone,0,5,covid; 
Great news. Nevada was just awarded over $4.5 million in federal grant money from @USDOL to go towards worker dislocation helping Nevadans return to work in roles that focus on addressing the impact of #COVID19.  Every grant every program every dollar helps. https://t.co/bAYLQWYyhL,2020-05-04 19:14:26,TweetDeck,4,14,covid; 
#COVID19 has brought some wild changes to our day-to-day lives but it can’t stop Congress from getting things done. I’m working hard with my colleagues on @EdLaborCmte and @VetAffairsDems to find solutions &amp; get things done for #NV03 during this crisis. https://t.co/FGFEmVM25D,2020-05-04 18:47:14,TweetDeck,1,8,covid; 
REMINDER: I launched my #Coronavirus Constituent Resources Guide. Check it out if you want to know more about:   ☑️Unemployment insurance  ☑️Direct cash payments ☑️Homeowner &amp; renter info ☑️Small business programs ☑️ Student borrower info and more  👇👇 https://t.co/gc9MZB3R2C,2020-05-03 21:01:49,Twitter for iPhone,2,7,corona; 
Teachers are fiercely rising to meet unprecedented challenges during the #COVID19 pandemic. Now more than ever we need to show teachers why we can’t get through this without them. Why do teachers matter to you? #SendTeachersLove,2020-05-03 19:24:02,Twitter for iPhone,7,50,covid; 
#ICYMI: This week our bipartisan bill to protect student veterans’ GI Bill benefits during #COVID19 was signed into law by the president.   This new law will ensure that thousands of veterans studying at schools like @UNLV. https://t.co/wGgQNEuB9U,2020-05-03 17:22:12,Twitter for iPhone,4,12,covid; 
