Please remember to wear a mask social distance avoid traveling and stay safe.,2020-11-27 00:11:26,Twitter for iPhone,66,634,social distance; 
I’m hosting a tele-town hall tonight to talk about resources for small businesses the $2 trillion stimulus the House is voting on today and how to keep your family safe from coronavirus. Call 866-757-0660 at 6pm to join me! https://t.co/tOCvErdXM3,2020-03-27 22:47:00,Twitter Media Studio,33,81,corona; 
This is a new low – Trump and his anti-choice cronies slipped an expansion of the dangerous #HydeAmendment in the Coronavirus relief bill.   They're exploiting a public health crisis to push their anti-choice agenda. It's dangerous offensive and WRONG. #BeBoldEndHyde,2020-03-26 22:22:00,TweetDeck,330,729,corona; 
EAST BAY RESIDENTS – I’m hosting a tele-town hall tomorrow at 6pm with @SBAgov and Lifelong Medical Clinic to give you updates on the #coronavirus epidemic and resources to keep small businesses open during this trying time. Information on how to join below. https://t.co/a0FTiNsFMp,2020-03-26 17:47:12,TweetDeck,13,38,corona; 
The Trump Admin is blocking a global response to the coronavirus pandemic because of their xenophobic agenda.  People will get hurt because of this. https://t.co/T8HSdii61d,2020-03-26 17:04:41,TweetDeck,100,187,corona; 
No one should have to worry about keeping a roof over their head during a public health crisis. This is a good step towards ensuring our families are safe during the coronavirus epidemic. #PeopleOverProfits https://t.co/NzwvwsVhyr,2020-03-25 20:56:42,Twitter Web App,24,87,corona; 
This coronavirus crisis is hard on everyone and it’s showing how the actions of our community impact us all. #Census2020 will determine the public health funding that our community gets for the next decade. Respond online now. #WeCount ⬇️ https://t.co/NYJkcP1lWJ,2020-03-24 16:20:00,TweetDeck,77,175,corona; 
No one should be forced out of their home in the middle of a public health emergency. Proud to work with @RepChuyGarcia on this critical bill to protect renters during the #coronavirus epidemic. https://t.co/gPgbfm9DbB,2020-03-24 15:07:57,TweetDeck,77,282,corona; 
Getting #coronavirus isn’t just you getting sick – it's the potential of passing it on to those who are at higher risk of complications. Don’t just keep yourself safe – keep the community safe. https://t.co/oJiDkrck3c,2020-03-22 15:43:42,TweetDeck,164,478,corona; 
Good list of common misconceptions and frequently asked questions about #coronavirus from NPR ⬇️ https://t.co/LucrUQILcS,2020-03-22 00:02:00,TweetDeck,28,48,corona; 
For weeks the Trump Admin didn't take the #coronavirus pandemic seriously – and by the time they did hospitals and doctors were overwhelmed.    We need to do everything we can to ensure our frontline workers have the equipment they need. https://t.co/r1UNYsWFIz,2020-03-21 21:07:00,TweetDeck,85,185,corona; 
A #coronavirus side effect you might not have considered: Canceled blood drives &amp; fewer available blood donors. If you are healthy and eligible please schedule a @RedCross blood donation appointment to help overcome a severe blood shortage. #COVID19 https://t.co/fuLtpY5kRr,2020-03-20 20:44:00,TweetDeck,36,59,covid; corona; 
We’re facing a global pandemic – yet instead of calming the nation and urging cooperation Trump is inflaming tensions. Calling #coronavirus the “China Virus” is dangerous and must stop.    https://t.co/QqCJDAjd5J,2020-03-20 18:06:00,TweetDeck,386,1419,corona; china virus; 
@SFBART is reducing hours to limit the spread of #coronavirus. M-F trains will run 5am to 9pm and weekend service will be limited to 8am to 9pm. https://t.co/eW8REagDyG,2020-03-20 16:37:00,TweetDeck,3,5,corona; 
I know this is a scary and confusing time for many of us. But it's critical that we listen to our public health officials and do everything we can to #FlattenTheCurve. #coronavirus https://t.co/6AEg7U6NYR,2020-03-20 15:45:17,TweetDeck,24,96,corona; 
‼️ ‼️BREAKING: #TaxDay has been moved to July 15th to give families hurting from the coronavirus crisis extra time. https://t.co/qsaQM8hH9Y,2020-03-20 14:53:21,TweetDeck,57,110,corona; 
I want to make sure you have the latest information about the #coronavirus how to stay safe and what resources are available to help you and your family. My website is updated every day with the latest ⬇️ https://t.co/LGr4kh97MN,2020-03-19 23:04:00,TweetDeck,27,69,corona; 
There’s a lot of confusing information about what the shelter in place order means. Check out the graphics below for some of the most common questions and answers. #COVID19 #Coronavirus https://t.co/7rtdJRdkyh,2020-03-19 21:29:00,TweetDeck,44,72,covid; corona; 
No it’s definitely racist and unacceptable. Especially when you have public health officials telling people NOT to call coronavirus the “China Virus.” https://t.co/eY2FC6rfpi,2020-03-19 18:23:00,TweetDeck,63,283,corona; china virus; 
I’m hosting a tele-town hall tonight at 6 pm with officials from Alameda County Public Health @ACCFB @AlamedaCOE and @OUSDNews to address your concerns about the #coronavirus.  You can join by calling 866-757-0660. https://t.co/GN6SDsSWj6,2020-03-19 17:02:40,Twitter Media Studio,39,90,corona; 
Great news – so important to protect our homeless community from the #coronavirus epidemic. https://t.co/R0z9BQUdMq,2020-03-19 00:40:34,TweetDeck,71,239,corona; 
Our families around the country need paid leave nutrition assistance unemployment insurance and more as the #coronavirus crisis continues. Trump needs to sign this bill NOW and put #FamiliesFirst. #ForThePeople https://t.co/ISzzUaadcO,2020-03-18 21:07:00,TweetDeck,60,224,corona; 
To the doctors nurses EMTs paramedics and everyone working on the frontlines of the #coronavirus epidemic – thank you. https://t.co/mKeppXJeMd,2020-03-18 20:42:00,TweetDeck,50,169,corona; 
I'm hosting a tele-town hall tomorrow at 6pm with local health professionals to answer your questions on #COVID19 and discuss the work I've been doing in Congress to protect our communities.   I hope you join me! https://t.co/tijOqZtU5X,2020-03-18 19:40:00,TweetDeck,27,44,covid; 
We need to do everything we can to stop the spread of #coronavirus – but we also can’t leave our students out in the cold. Not everyone has a safe home environment to return to. https://t.co/b19D4m8XCM,2020-03-18 18:50:00,TweetDeck,25,80,corona; 
This coronavirus crisis is hard on everyone and it’s showing how the actions of our community impact us all.   #Census2020 will help determine the public health funding that our community gets for the next decade. Please respond online now ⬇️ #WeCount https://t.co/NYJkcPiWOh,2020-03-18 18:01:00,TweetDeck,24,57,corona; 
🧼🧼Make sure you’re washing your hands safely AND correctly to stop the spread of #coronavirus! https://t.co/ej0FSFRm1L,2020-03-18 16:15:25,Twitter Media Studio,45,210,corona; 
As social distancing shelter in place and food stockpiling continues we can't forget about our homeless community. It's vital we protect EVERYONE in our communities – including the unhoused. #Coronavirus #COVID19 https://t.co/fYHx9UwK1z,2020-03-17 19:54:00,TweetDeck,100,300,covid; corona; 
#Coronavirus is just proving what we've been arguing for years: our economy and country aren't working for everyone.   Low-income workers the un- and under-insured the unhoused and undocumented communities are going to bear the brunt of this crisis. https://t.co/ueH6RYbJW4,2020-03-17 18:33:00,TweetDeck,90,242,corona; 
1. Diseases don’t have nationalities. 2. China isn’t to blame for you fumbling this crisis. 3. Maybe take a break from Twitter and listen to the experts for a change. #Coronavirus #COVID19 https://t.co/0AaNq7FE6G,2020-03-17 17:22:00,TweetDeck,175,603,covid; corona; 
We’re already seeing families across the country struggle to afford the basics – they need cash assistance and they need it now. #FamiliesFirst #Coronavirus https://t.co/SPWd3f7VuM,2020-03-17 16:47:41,TweetDeck,41,98,corona; 
There are a lot of communities in need – both in the Bay Area and around the country. Great list of ways to help our vulnerable community members as the #coronavirus crisis continues. https://t.co/SS1z2Rc4XL,2020-03-17 00:28:00,TweetDeck,25,46,corona; 
If you’re a #SmallBusiness in Alameda County in need of an #SBA loan due to the #coronavirus outbreak please check out the SBA resources and loan application here: https://t.co/0zXeLFSY0i,2020-03-16 23:54:00,TweetDeck,38,64,corona; 
This is the best way to stop the spread of #coronavirus and keep our loved ones safe.  Public health officials have spoken and this is the overwhelming recommendation if we're going to beat #COVID19. https://t.co/uthNaDhnpq,2020-03-16 21:25:10,TweetDeck,29,85,covid; corona; 
#FamiliesFirst provides critical support to our families making sure everyday families don’t have to worry about putting food on the table during the #coronavirus crisis. https://t.co/Hnmk9gGe11,2020-03-16 21:11:00,TweetDeck,34,73,corona; 
Oakland residents: OUSD will still be providing free school lunch to any student under 18. Our kids shouldn’t have to worry about where their next meal is coming from during the #coronavirus crisis. https://t.co/n5M5WWPAzA,2020-03-16 18:18:00,TweetDeck,51,124,corona; 
Simple things to do during #coronavirus: 👏Wash your hands with soap &amp; water for 20 seconds. 🙅🏿‍♀‍Keep unwashed hands away from eyes nose &amp; mouth. 😷Always cover your cough or sneeze. 🧽Disinfect frequently touched objects and surfaces. ❤️Take care of yourself and loved ones.,2020-03-16 14:55:04,TweetDeck,31,112,corona; 
Trump’s cruel work requirements for #SNAP should never be allowed. Glad that in the #FamiliesFirst Coronavirus Act we were able to block the rule during the #coronavirus outbreak. #HandsOffSNAP https://t.co/igBEEMT1gu,2020-03-15 22:05:20,Twitter for iPhone,124,366,corona; 
‼️Due to hand sanitizer shortages the FDA is relaxing regulations allowing pharmacists to fill the gaps while supplies are limited.   Hoarding like this just prevents others from getting the supplies they need. #coronavirus #COVID19 https://t.co/DPLIWVbOEE,2020-03-15 15:25:06,Twitter Web App,46,130,covid; corona; 
.@LibbySchaaf @RobBontaCA local leaders and I are committed to advancing the safety &amp; financial security of our community during this public health crisis.   A science-based coordinated fully-funded whole-of-government response is vital to stopping #coronavirus. https://t.co/qezxeb9s3a,2020-03-14 21:59:58,Twitter for iPhone,20,77,corona; 
Low-income families rely on free school lunch to keep food in their kids’ bellies.  @HouseDemocrats’ #FamiliesFirst #Coronavirus Response Act expands food assistance and provides paid leave so that no one has to choose between keeping a roof over their head and staying healthy. https://t.co/xqF0Adg4A3,2020-03-14 16:19:26,Twitter Web App,49,133,corona; 
News flash: diseases don't have nationalities.  Referring to #COVID19 as “Chinese #Coronavirus” is a racist and xenophobic distraction from the Trump Admin's mishandling of the outbreak. https://t.co/tI1Kp1aeB7,2020-03-12 15:58:15,Twitter Web App,74,214,covid; corona; 
The @WHO just declared #COVID19 a global pandemic adding they are concerned about levels of inaction.   Now is not the time for corporate tax cuts or political maneuvering – we need to act on the advice of doctors &amp; scientists to keep the public safe. https://t.co/ua391YbP5W,2020-03-11 18:37:00,Twitter for iPhone,40,92,covid; 
Disembarkments are still taking place on #GrandPrincess and we expect all passengers should be off the ship soon. #COVID19 https://t.co/t2cBcHVdiy,2020-03-11 17:22:56,TweetDeck,25,50,covid; 
Profits for insurance companies and big pharma shouldn't be more important than our health and safety.  As #COVID19 continues we need to make sure that everyone has access to FREE testing and treatment.,2020-03-10 17:48:00,TweetDeck,66,222,covid; 
Secretary Pompeo Congress is a co-equal branch of government.   Your failure to respond to or attend this critical hearing while we're in the midst of a global crisis is disgraceful. The public deserves answers. @AppropsDems #COVID19,2020-03-09 20:43:14,TweetDeck,125,310,covid; 
Oakland &amp; California are stepping up in a big way to rescue these stranded travelers. We must prioritize the safety of the public and the passengers – including our West Oakland community which has experienced environmental injustice in the past. #GrandPrincessCruise #COVID19 https://t.co/YW31NtplyW,2020-03-09 20:05:17,Twitter Media Studio,50,188,covid; 
I am closely monitoring the #GrandPrincessCruise disembarkment at the Port of Oakland and am working to ensure the travelers aboard and our communities are protected. #COVID19  https://t.co/dmPSjqUitH,2020-03-09 18:04:25,Twitter Web App,56,230,covid; 
Governor Newsom and State Health Officials announced more than 22 Million Californians are now eligible for free medically necessary #COVID19 testing. Follow updates from @CDCgov and @CAPublicHealth for the latest news on how to get tested. https://t.co/hWLrlEE88h,2020-03-06 17:45:10,TweetDeck,52,108,covid; 
Looking for up-to-date information on #COVID19 &amp; #coronavirus? Take a look at this resource from @CDCgov ⬇️ https://t.co/5gKvJij55a,2020-03-06 00:32:00,TweetDeck,14,33,covid; corona; 
@AppropsDems worked swiftly to pass this critical $8.3 billion emergency funding bill to stem the spread of #COVID19. We must keep working to help our state and local health agencies as they fight on the front lines of this epidemic. https://t.co/x2wjDSWILU,2020-03-05 23:19:49,Twitter Web App,1,3,covid; 
We need a fully-funded coordinated government-wide response to stay safe against #Covid19.  As an appropriator I’m proud to support @HouseDemocrats’ $8.3 billion emergency legislation to fully address this public health emergency &amp; protect the public. https://t.co/4ezt06E8IT,2020-03-04 22:10:00,TweetDeck,38,112,covid; 
Stay up to date and safe on the latest updates for the #coronavirus. https://t.co/uNtr6pCz76,2020-03-04 18:43:28,Twitter Web App,17,48,corona; 
Trump proposed eliminating the very programs we need during the #Coronavirus outbreak in the #TrumpBudget.  His entire agenda is a threat to public health and safety. https://t.co/i6r3IcbKd3,2020-03-03 17:21:00,TweetDeck,81,171,corona; 
Alameda County has declared a public health emergency for the #Coronavirus to support ongoing response efforts. I encourage everyone to follow updates from @CDCgov and @CAPublicHealth for the latest news. Learn more from @CAPublicHealth on how to stay healthy ⬇️ https://t.co/TmKPbZgoEg,2020-03-02 17:54:03,Twitter Web App,19,43,corona; 
It's appalling that people are using a public health crisis to justify blatant xenophobia.  The best way to stop the spread of #coronavirus is to wash your hands not push racist stereotypes.  Go to https://t.co/kODq8Mks56 for more resources. https://t.co/AKJfMzL174,2020-02-28 18:55:00,Twitter Media Studio,44,138,corona; 
As governor of Indiana Pence ignored scientific evidence that led to an HIV outbreak – costing people their lives.  Putting him in charge of the coronavirus response is beyond reckless. https://t.co/fsa95oC7lc,2020-02-27 18:26:00,TweetDeck,113,267,corona; 
Just two weeks after the disastrous #TrumpBudget proposed slashing the CDC budget Trump is now asking for coronavirus response funding.    We need a coordinated &amp; fully-funded response to this outbreak – not the last minute slap-dash Trump's requesting. https://t.co/c5QE2YCQBb,2020-02-25 16:10:00,TweetDeck,40,134,corona; 
I'm closely monitoring developments about the coronavirus and I'm glad @CDCgov will begin screening passengers at SFO for symptoms. The risk is still low for people in the East Bay but you can follow these guidelines to help keep you and your loved ones healthy. https://t.co/wJKFggBGeO,2020-01-28 17:22:00,TweetDeck,28,66,corona; 
